本地频道,#genre#
防城综合,https://live.fcgtvb.com:443/live/app1.m3u8?auth_key=1604480433-0-0-e42eb9c05386b5bc55c6a809943ebb1f
防城公共,https://live.fcgtvb.com:443/live/app3.m3u8?auth_key=1605689054-0-0-23fb97339caf6f5b76bc29e7662c4d8e
新闻频道,#genre#
CCTV13,http://39.135.34.149:18890/000000001000/1000000002000021303/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000021303&owchid=ystenlive&owsid=1106497909461172796&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjht3HVAbnHsmZNUh9hfpXto6CyOW1rkA%2biXZhxwyg0QWyFIN7oKbswdBdf7iWy8vlE#http://39.135.32.34:6610/000000001000/6918130250570453526/1.m3u8?channel-id=ystenlive&Contentid=6918130250570453526&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=6918130250570453526&owchid=ystenlive&owsid=4493204828791728820&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5SJckYix32FQdWweMjZIfA%2fb3c6oce5W%2ffJT7MwPW%2fIEuLykCNnwtEYqj9vsrno4cPWC1tbj9jLkqzQnhkro8C&IASHttpSessionId=SLB381020180727145954813883#http://39.135.34.134:18890/000000001000/1000000002000021303/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA038102#http://140.249.31.206/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
廣西衛視,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8#http://111.0.27.30:80/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8#http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221226055/index.m3u8#http://39.135.34.158:18890/000000001000/1000000002000019837/1.m3u8?#http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=015&Provider_id=&Pcontent_id=index.m3u8
鳳凰中文HD,http://111.13.42.13/PLTV/88888888/224/3221225942/1.m3u8#http://112.5.223.75/ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8?icpid=88888888&from=1&ocs=2_112.5.223.77_80&hms_devid=503#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8#http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8
凤凰中文,http://liveali.ifeng.com/live/FHZW.flv
鳳凰資訊,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8#http://liveali.ifeng.com/live/FHZX.flv#http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8#http://117.169.120.138:8080/live/fhzixun/.m3u8#http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8#http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8#http://117.148.187.83/PLTV/88888888/224/3221226491/index.m3u8#http://112.50.243.10/PLTV/88888888/224/3221225901/2.m3u8
中天新聞,p2p://190.2.146.92:18912/5c7249b6000641f71d5776673c1d2f63.ts#p2p://51.79.41.138:18912/5c7249b6000641f71d5776673c1d2f63.ts
東森新聞,p2p://190.2.146.92:18912/5c7248a0000383701d5337cb153b4b51.ts#p2p://51.79.41.138:18912/5c7248a0000383701d5337cb153b4b51.ts
TVBS新聞,p2p://190.2.146.92:18912/5c7249c2000e510f1d57a75a30592ee2.ts#p2p://51.79.41.138:18912/5c7249c2000e510f1d57a75a30592ee2.ts
非凡新聞,p2p://190.2.146.92:18912/5c7249cb000744bc1d57c8bd53377361.ts#p2p://51.79.41.138:18912/5c7249cb000744bc1d57c8bd53377361.ts
三立新聞,p2p://190.2.146.92:18912/5c7249be000b87931d5796ff51e62b02.ts#http://60.199.188.65:80/HLS/WG_ETTV-N/01.m3u8#p2p://51.79.41.138:18912/5c7249be000b87931d5796ff51e62b02.ts#http://60.199.188.65/HLS/WG_ETTV-N/02.m3u8
CCTV4K,http://111.0.27.30:80/tlivecloud-cdn.ysp.cctv.cn/001/2000266302.m3u8#http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/001/2000266302.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8
广东综艺4K,http://nclive.grtn.cn:80/4K/sd/live.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://183.207.249.35/PLTV/3/224/3221226922/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xianggangweishi_2_hd.m3u8
翡翠台,http://hdl0901.plures.net:80/onlive/a195f07a-caaa-4c4d-930a-1156e791abc.flv
凤凰香港,http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8#http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=4344#http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8#http://223.110.245.137/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=3804#http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=3804
